patent_count_by_gender_collab,filing_year,gender_collab_type,gov_reliance_type_three_type,patent_count,pct
3769,2019,only_females,No_support,3769,100.0
38583,1987,only_males,Indirect,5103,13.226032190342897
2949,2002,only_females,No_support,2349,79.65412004069177
34350,1982,only_males,Indirect,3755,10.931586608442503
1508,1992,only_females,Direct,52,3.4482758620689653
2052,1985,gender_collab,Indirect,273,13.304093567251462
82713,2001,only_males,Direct,3117,3.7684523593630987
89022,2020,only_males,No_support,89022,100.0
75693,2008,only_males,Direct,3262,4.30951342924709
731,1980,only_females,Indirect,56,7.660738714090288
47357,1990,only_males,Direct,1934,4.083873556179657
912,1985,only_females,Indirect,81,8.881578947368421
100808,2016,only_males,No_support,95136,94.37346242361717
25430,2015,gender_collab,No_support,21589,84.8957923712151
2236,1995,only_females,No_support,1833,81.97674418604652
16407,2008,gender_collab,No_support,11127,67.81861400621686
25430,2015,gender_collab,Direct,841,3.3071175776641764
777,1982,only_females,Indirect,86,11.068211068211069
731,1980,only_females,No_support,663,90.69767441860465
3254,2013,only_females,No_support,2599,79.87092808850646
82221,2000,only_males,Indirect,15586,18.956227727709464
77454,2004,only_males,Indirect,17492,22.583727115449168
76941,2005,only_males,No_support,56631,73.60315046594144
3346,2014,only_females,Direct,113,3.3771667662881053
76147,1997,only_males,Direct,2752,3.614062274285264
34801,1985,only_males,Direct,1422,4.086089480187351
1100,1978,gender_collab,Indirect,98,8.909090909090908
42295,1988,only_males,Indirect,5587,13.209599243409386
3018,2012,only_females,Indirect,484,16.03711066931743
28573,2017,gender_collab,No_support,28363,99.26504042277675
1074,1987,only_females,No_support,926,86.21973929236499
66172,1996,only_males,No_support,53458,80.78643535029921
82240,2011,only_males,Indirect,18260,22.20330739299611
15017,2001,gender_collab,No_support,10478,69.7742558433775
1517,1990,only_females,Direct,52,3.4278180619644036
15736,2009,gender_collab,No_support,10293,65.410523640061
16967,2010,gender_collab,Indirect,4455,26.256851535333293
71564,2009,only_males,No_support,51909,72.53507350064278
49551,1976,only_males,No_support,44226,89.2534963976509
1815,1984,gender_collab,Direct,138,7.603305785123967
82781,2002,only_males,Direct,3051,3.6856283446684626
1535,1993,only_females,Indirect,189,12.31270358306189
82781,2002,only_males,Indirect,17282,20.876771239777245
858,1976,only_females,No_support,784,91.37529137529137
16407,2008,gender_collab,Direct,1295,7.892972511732797
3000,2001,only_females,Indirect,475,15.833333333333334
1562,1983,gender_collab,No_support,1262,80.79385403329066
14587,2005,gender_collab,Indirect,3646,24.994858435593336
1404,1976,gender_collab,Indirect,104,7.407407407407407
3448,2015,only_females,Direct,69,2.0011600928074245
4610,1991,gender_collab,Direct,319,6.919739696312364
